Embarcaciones;Botes;Tiempo de navegacion;TMI
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
30;1;8377;279,23
30;1;5517;183,9
30;1;9950;331,67
30;1;8400;280
30;1;9615;320,5
30;1;3285;109,5
30;1;4192;139,73
30;1;6728;224,27
30;1;7060;235,33
30;1;6867;228,9
30;1;4789;159,63
30;1;8746;291,53
30;1;6147;204,9
30;1;9493;316,43
30;1;10039;334,63
30;1;6375;212,5
30;1;6700;223,33
30;1;8793;293,1
30;1;12278;409,27
30;1;7042;234,73
30;1;7067;235,57
30;1;6333;211,1
30;1;7677;255,9
30;1;6433;214,43
30;1;7021;234,03
30;1;7235;241,17
30;1;7875;262,5
30;1;10049;334,97
30;1;5474;182,47
30;1;8643;288,1
45;1;6773;150,51
45;1;10610;235,78
45;1;8559;190,2
45;1;5984;132,98
45;1;7714;171,42
45;1;14009;311,31
45;1;7235;160,78
45;1;11338;251,96
45;1;7092;157,6
45;1;10134;225,2
45;1;9187;204,16
45;1;9561;212,47
45;1;7524;167,2
45;1;10952;243,38
45;1;6898;153,29
45;1;10661;236,91
45;1;12779;283,98
45;1;8125;180,56
45;1;6269;139,31
45;1;15472;343,82
45;1;12772;283,82
45;1;12708;282,4
45;1;9924;220,53
45;1;6659;147,98
45;1;12143;269,84
45;1;7593;168,73
45;1;6735;149,67
45;1;6720;149,33
45;1;7536;167,47
45;1;9578;212,84
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
30;1;8377;279,23
30;1;5517;183,9
30;1;9950;331,67
30;1;8400;280
30;1;9615;320,5
30;1;3285;109,5
30;1;4192;139,73
30;1;6728;224,27
30;1;7060;235,33
30;1;6867;228,9
30;1;4789;159,63
30;1;8746;291,53
30;1;6147;204,9
30;1;9493;316,43
30;1;10039;334,63
30;1;6375;212,5
30;1;6700;223,33
30;1;8793;293,1
30;1;12278;409,27
30;1;7042;234,73
30;1;7067;235,57
30;1;6333;211,1
30;1;7677;255,9
30;1;6433;214,43
30;1;7021;234,03
30;1;7235;241,17
30;1;7875;262,5
30;1;10049;334,97
30;1;5474;182,47
30;1;8643;288,1
45;1;6773;150,51
45;1;10610;235,78
45;1;8559;190,2
45;1;5984;132,98
45;1;7714;171,42
45;1;14009;311,31
45;1;7235;160,78
45;1;11338;251,96
45;1;7092;157,6
45;1;10134;225,2
45;1;9187;204,16
45;1;9561;212,47
45;1;7524;167,2
45;1;10952;243,38
45;1;6898;153,29
45;1;10661;236,91
45;1;12779;283,98
45;1;8125;180,56
45;1;6269;139,31
45;1;15472;343,82
45;1;12772;283,82
45;1;12708;282,4
45;1;9924;220,53
45;1;6659;147,98
45;1;12143;269,84
45;1;7593;168,73
45;1;6735;149,67
45;1;6720;149,33
45;1;7536;167,47
45;1;9578;212,84
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
30;1;8377;279,23
