Embarcaciones;Botes;Tiempo de navegacion;TMI
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
15;1;2220;148
15;1;4275;285
15;1;5093;339,53
15;1;2943;196,2
15;1;6297;419,8
15;1;6407;427,13
15;1;4294;286,27
15;1;4136;275,73
15;1;3594;239,6
15;1;6134;408,93
15;1;7724;514,93
15;1;4171;278,07
15;1;5779;385,27
15;1;4764;317,6
15;1;3203;213,53
15;1;3036;202,4
15;1;3652;243,47
15;1;4340;289,33
15;1;4343;289,53
15;1;7063;470,87
15;1;4052;270,13
15;1;3685;245,67
15;1;5385;359
15;1;3241;216,07
15;1;3253;216,87
15;1;7555;503,67
15;1;4295;286,33
15;1;4239;282,6
15;1;3731;248,73
15;1;5335;355,67
