Embarcaciones;Drones;Prob. de falla;TMI
15;1;0;133,87
15;1;0;101,6
15;1;0;99,8
15;1;0;122,27
15;1;0;123,13
15;1;0;101,93
15;1;0;136,2
15;1;0;126,2
15;1;0;105,27
15;1;0;106,53
15;1;0;114,4
15;1;0;92,4
15;1;0;102,47
15;1;0;112,67
15;1;0;82,93
15;1;0;127,67
15;1;0;89,53
15;1;0;116,47
15;1;0;136,2
15;1;0;139,33
15;1;0;88,2
15;1;0;115,47
15;1;0;104,8
15;1;0;118,8
15;1;0;108,6
15;1;0;94,2
15;1;0;133,8
15;1;0;95,6
15;1;0;99,27
15;1;0;120,8
15;3;0;88,13
15;3;0;86,73
15;3;0;94,07
15;3;0;96,47
15;3;0;109,93
15;3;0;70,93
15;3;0;100
15;3;0;95,07
15;3;0;84,53
15;3;0;110,53
15;3;0;87,53
15;3;0;95,67
15;3;0;115,07
15;3;0;83,67
15;3;0;84,93
15;3;0;85,33
15;3;0;63,2
15;3;0;92,13
15;3;0;61,4
15;3;0;75,2
15;3;0;63,33
15;3;0;106,93
15;3;0;77,13
15;3;0;95,53
15;3;0;92,6
15;3;0;90,13
15;3;0;77,6
15;3;0;48,2
15;3;0;103,8
15;3;0;119,67
15;5;0;81,47
15;5;0;63,8
15;5;0;64,8
15;5;0;82,6
15;5;0;96,33
15;5;0;53,73
15;5;0;56,6
15;5;0;63,07
15;5;0;102,47
15;5;0;55,6
15;5;0;42,8
15;5;0;69,33
15;5;0;46,87
15;5;0;74,8
15;5;0;56,6
15;5;0;66,53
15;5;0;48,87
15;5;0;81,6
15;5;0;58,13
15;5;0;56,13
15;5;0;46,4
15;5;0;61,93
15;5;0;79
15;5;0;81,87
15;5;0;76,2
15;5;0;78,87
15;5;0;55,93
15;5;0;72,2
15;5;0;100,53
15;5;0;98,73
15;1;0,002;100,4
15;1;0,002;119,53
15;1;0,002;121,93
15;1;0,002;124,8
15;1;0,002;132,33
15;1;0,002;108,27
15;1;0,002;98,33
15;1;0,002;125,47
15;1;0,002;114,93
15;1;0,002;123,2
15;1;0,002;135,8
15;1;0,002;130,33
15;1;0,002;99,73
15;1;0,002;92,47
15;1;0,002;110,47
15;1;0,002;103,53
15;1;0,002;157
15;1;0,002;103,73
15;1;0,002;119,67
15;1;0,002;104,93
15;1;0,002;142,13
15;1;0,002;114,53
15;1;0,002;112,87
15;1;0,002;111,27
15;1;0,002;135,33
15;1;0,002;99,07
15;1;0,002;114,13
15;1;0,002;103,6
15;1;0,002;111
15;1;0,002;106,93
15;3;0,002;104,8
15;3;0,002;100,87
15;3;0,002;96,13
15;3;0,002;101,2
15;3;0,002;80,53
15;3;0,002;96,67
15;3;0,002;110,67
15;3;0,002;78,53
15;3;0,002;124,13
15;3;0,002;107,27
15;3;0,002;78,33
15;3;0,002;101,87
15;3;0,002;84,8
15;3;0,002;118,07
15;3;0,002;93,4
15;3;0,002;130,73
15;3;0,002;95,87
15;3;0,002;88,33
15;3;0,002;82,73
15;3;0,002;96,67
15;3;0,002;129,6
15;3;0,002;83,8
15;3;0,002;94,27
15;3;0,002;121,13
15;3;0,002;55,93
15;3;0,002;126,4
15;3;0,002;124,8
15;3;0,002;83,4
15;3;0,002;102,33
15;3;0,002;108,33
15;5;0,002;70,13
15;5;0,002;51,53
15;5;0,002;79,8
15;5;0,002;65,4
15;5;0,002;71,27
15;5;0,002;52,33
15;5;0,002;93,33
15;5;0,002;58,93
15;5;0,002;67,13
15;5;0,002;79,33
15;5;0,002;91,53
15;5;0,002;102,6
15;5;0,002;85,4
15;5;0,002;93,6
15;5;0,002;46
15;5;0,002;59
15;5;0,002;66,2
15;5;0,002;54,93
15;5;0,002;74,67
15;5;0,002;49,67
15;5;0,002;97,47
15;5;0,002;79,8
15;5;0,002;80,6
15;5;0,002;51,73
15;5;0,002;36,47
15;5;0,002;66,07
15;5;0,002;60,53
15;5;0,002;73,73
15;5;0,002;53,67
15;5;0,002;69,2
15;1;0,004;122,27
15;1;0,004;155,67
15;1;0,004;137,07
15;1;0,004;133,93
15;1;0,004;103,07
15;1;0,004;121,47
15;1;0,004;122,47
15;1;0,004;139,2
15;1;0,004;115,4
15;1;0,004;114,73
15;1;0,004;135,93
15;1;0,004;158,2
15;1;0,004;116,6
15;1;0,004;105,07
15;1;0,004;137,67
15;1;0,004;103,6
15;1;0,004;125,93
15;1;0,004;174,67
15;1;0,004;132,6
15;1;0,004;140,6
15;1;0,004;129,8
15;1;0,004;117,27
15;1;0,004;125,07
15;1;0,004;118,07
15;1;0,004;108,87
15;1;0,004;142,33
15;1;0,004;144,53
15;1;0,004;122,47
15;1;0,004;119,33
15;1;0,004;141,93
15;3;0,004;108,07
15;3;0,004;83,2
15;3;0,004;102,67
15;3;0,004;118,73
15;3;0,004;90,87
15;3;0,004;119,73
15;3;0,004;93,67
15;3;0,004;79
15;3;0,004;99,33
15;3;0,004;109,6
15;3;0,004;86,47
15;3;0,004;91,4
15;3;0,004;101,73
15;3;0,004;109,73
15;3;0,004;99,87
15;3;0,004;100,67
15;3;0,004;128,2
15;3;0,004;92,13
15;3;0,004;97,8
15;3;0,004;111,6
15;3;0,004;144,93
15;3;0,004;110,73
15;3;0,004;99,67
15;3;0,004;127,27
15;3;0,004;130,2
15;3;0,004;95
15;3;0,004;107,73
15;3;0,004;97,07
15;3;0,004;104,53
15;3;0,004;92,4
15;5;0,004;90,73
15;5;0,004;97,6
15;5;0,004;91,67
15;5;0,004;40
15;5;0,004;115,8
15;5;0,004;49,73
15;5;0,004;89,2
15;5;0,004;99,6
15;5;0,004;52,4
15;5;0,004;85,6
15;5;0,004;70
15;5;0,004;79,13
15;5;0,004;114,67
15;5;0,004;69,33
15;5;0,004;66,87
15;5;0,004;93,93
15;5;0,004;81,87
15;5;0,004;103,33
15;5;0,004;81,13
15;5;0,004;51,67
15;5;0,004;98,27
15;5;0,004;80,4
15;5;0,004;77,07
15;5;0,004;57,47
15;5;0,004;68
15;5;0,004;97,67
15;5;0,004;67,33
15;5;0,004;74,87
15;5;0,004;89,33
15;5;0,004;86,27
30;1;0;78,77
30;1;0;71,3
30;1;0;81,13
30;1;0;75,9
30;1;0;95,07
30;1;0;72,33
30;1;0;72,43
30;1;0;75,53
30;1;0;76,87
30;1;0;77,7
30;1;0;74,63
30;1;0;76,37
30;1;0;74,43
30;1;0;67,43
30;1;0;71,73
30;1;0;87,23
30;1;0;78,27
30;1;0;71,8
30;1;0;70,93
30;1;0;67
30;1;0;66,63
30;1;0;76,2
30;1;0;67,43
30;1;0;85,03
30;1;0;88,1
30;1;0;72,03
30;1;0;72,57
30;1;0;75,93
30;1;0;67,03
30;1;0;74,87
30;3;0;64,47
30;3;0;63,9
30;3;0;67,43
30;3;0;71,77
30;3;0;69,17
30;3;0;76,1
30;3;0;59,87
30;3;0;72,3
30;3;0;76
30;3;0;76,13
30;3;0;85,2
30;3;0;57,77
30;3;0;65,33
30;3;0;56,8
30;3;0;77,07
30;3;0;60,4
30;3;0;72,27
30;3;0;83,03
30;3;0;70,1
30;3;0;62,3
30;3;0;65,47
30;3;0;69,97
30;3;0;81,93
30;3;0;79,23
30;3;0;65,03
30;3;0;50,87
30;3;0;80,07
30;3;0;58,17
30;3;0;69,73
30;3;0;68,83
30;5;0;45,4
30;5;0;78,03
30;5;0;71,53
30;5;0;65,57
30;5;0;56,67
30;5;0;59,83
30;5;0;73,57
30;5;0;72,9
30;5;0;61,27
30;5;0;70,47
30;5;0;64,93
30;5;0;64,93
30;5;0;46,27
30;5;0;57,53
30;5;0;77,43
30;5;0;63,93
30;5;0;79,87
30;5;0;58,63
30;5;0;66,83
30;5;0;45
30;5;0;66,2
30;5;0;56
30;5;0;78,5
30;5;0;64,07
30;5;0;58,97
30;5;0;58,77
30;5;0;56,87
30;5;0;72,87
30;5;0;60,33
30;5;0;68,43
30;1;0,002;68,17
30;1;0,002;63,67
30;1;0,002;62,7
30;1;0,002;80,43
30;1;0,002;81,23
30;1;0,002;68,8
30;1;0,002;62,23
30;1;0,002;81,73
30;1;0,002;58,9
30;1;0,002;77,83
30;1;0,002;76,97
30;1;0,002;78,13
30;1;0,002;74,17
30;1;0,002;95,93
30;1;0,002;66,43
30;1;0,002;80,17
30;1;0,002;84,07
30;1;0,002;74,07
30;1;0,002;91,13
30;1;0,002;73,97
30;1;0,002;74
30;1;0,002;79,17
30;1;0,002;92,77
30;1;0,002;66,87
30;1;0,002;89,5
30;1;0,002;82,2
30;1;0,002;79,87
30;1;0,002;71,43
30;1;0,002;80,47
30;1;0,002;69,93
30;3;0,002;78,07
30;3;0,002;102,47
30;3;0,002;68,5
30;3;0,002;58,63
30;3;0,002;71,2
30;3;0,002;78,23
30;3;0,002;64,8
30;3;0,002;82,4
30;3;0,002;71,1
30;3;0,002;68,77
30;3;0,002;69,17
30;3;0,002;81,7
30;3;0,002;77,93
30;3;0,002;55,83
30;3;0,002;90
30;3;0,002;73,87
30;3;0,002;63,83
30;3;0,002;74,6
30;3;0,002;63,33
30;3;0,002;69,77
30;3;0,002;66,37
30;3;0,002;84,73
30;3;0,002;78,5
30;3;0,002;54,57
30;3;0,002;76,57
30;3;0,002;59,37
30;3;0,002;73
30;3;0,002;60
30;3;0,002;70,9
30;3;0,002;78,53
30;5;0,002;65,2
30;5;0,002;66,7
30;5;0,002;79,9
30;5;0,002;57,97
30;5;0,002;74,73
30;5;0,002;54,7
30;5;0,002;81,67
30;5;0,002;68,4
30;5;0,002;53,13
30;5;0,002;41,53
30;5;0,002;69,27
30;5;0,002;50,2
30;5;0,002;58,27
30;5;0,002;51,23
30;5;0,002;54,67
30;5;0,002;72,07
30;5;0,002;50,27
30;5;0,002;71,23
30;5;0,002;55,77
30;5;0,002;68,43
30;5;0,002;89,43
30;5;0,002;66,97
30;5;0,002;65,5
30;5;0,002;59,6
30;5;0,002;66,47
30;5;0,002;56,33
30;5;0,002;61,7
30;5;0,002;67,1
30;5;0,002;60,43
30;5;0,002;60,17
30;1;0,004;94,47
30;1;0,004;86,73
30;1;0,004;97,43
30;1;0,004;70,5
30;1;0,004;87,7
30;1;0,004;77,53
30;1;0,004;90,23
30;1;0,004;84,03
30;1;0,004;81,03
30;1;0,004;81,37
30;1;0,004;87,1
30;1;0,004;80,6
30;1;0,004;74,27
30;1;0,004;62,97
30;1;0,004;86,57
30;1;0,004;76,93
30;1;0,004;81,4
30;1;0,004;78,57
30;1;0,004;74,2
30;1;0,004;65
30;1;0,004;81,63
30;1;0,004;90,37
30;1;0,004;93,67
30;1;0,004;95,27
30;1;0,004;79,8
30;1;0,004;76,77
30;1;0,004;78,63
30;1;0,004;63,6
30;1;0,004;72,43
30;1;0,004;79,37
30;3;0,004;74,97
30;3;0,004;82,03
30;3;0,004;78,2
30;3;0,004;67,1
30;3;0,004;69,47
30;3;0,004;63,23
30;3;0,004;76
30;3;0,004;78,7
30;3;0,004;67,8
30;3;0,004;72,63
30;3;0,004;79,47
30;3;0,004;71
30;3;0,004;70,6
30;3;0,004;60,3
30;3;0,004;74,7
30;3;0,004;73,07
30;3;0,004;76,2
30;3;0,004;56,83
30;3;0,004;82,73
30;3;0,004;69,63
30;3;0,004;79,5
30;3;0,004;78,33
30;3;0,004;77,4
30;3;0,004;68,47
30;3;0,004;72,1
30;3;0,004;81,77
30;3;0,004;83,53
30;3;0,004;81,3
30;3;0,004;77,4
30;3;0,004;82,83
30;5;0,004;68,73
30;5;0,004;58,53
30;5;0,004;77,17
30;5;0,004;70,9
30;5;0,004;75,47
30;5;0,004;51,4
30;5;0,004;66,33
30;5;0,004;81,63
30;5;0,004;61,83
30;5;0,004;67,8
30;5;0,004;61
30;5;0,004;43,97
30;5;0,004;52,3
30;5;0,004;75,17
30;5;0,004;48,3
30;5;0,004;93,2
30;5;0,004;59,07
30;5;0,004;58,6
30;5;0,004;67,63
30;5;0,004;87
